,0
0,0.10600000000000098
1,0.5000000000000353
2,0.4999999999999942
3,0.5
4,0.49999999999999295
5,0.5
6,0.499999999999994
7,0.5000000000000003
8,0.49999999999999434
9,0.5000000000000311
10,0.499999999999994
11,0.4999999999999998
12,0.5
13,0.4999999999999929
14,0.49999999999999983
15,0.4999999999999985
16,0.5000000000000003
17,0.4999999999999942
18,0.5000000000000003
19,0.4999999999999942
20,0.5000000000000003
21,0.49999999999999434
22,0.5000000000000312
23,0.4999999999999942
24,0.4999999999999998
